Name,Essence,Range,Rarity,Cost,Description,Usage-Effect,WA Id,NameName
Goblin-Trap,Shadow,Swamps,Common,10 sp,"Often found in clusters, these plants resemble brown leathery vases sitting on the ground with ragged leaves splayed out around the base where thick roots grasp the earth. The tops are open, and if one should peer inside the glint of their golden seeds can be seen in the interior. However, these plants are traps, and many an explorer have come across the remains of smaller humanoids, their hands still clutching the golden seed pods. ","If someone is unwise enough to reach into the pod, they must make a Dexterity saving throw (DC 15) or suffer 1d4 damage from the internal spines of the plant, and are then grappled. <br><br>10 points of damage must be inflicted upon the plant to free a trapped arm, the leathery surface providing a natural AC of 11. <br><br>Ripping the plant out of the ground requires a successful Strength (Athletics) check (DC 20) and inflicts another 1d4 damage upon the trapped victim.",08ce5001-8525-4665-96b0-9e1eba54dd3f,goblin-trap
Gravefist,Earth,Underground,Common,19 sp,"A pale white mushroom with five knobby protrusions, the mushroom often resembles a skeletal hand reaching upward. When the mushroom grows in clusters, it appears as if numerous corpses are attempting to reach out of the soil The fungus predominantly grows in the Underdark, however it has also been seen in dark basements and unused root cellars. Several tales of superstition follow the fungus, with many believing it's appearance in your cellar heralds a coming death in the family. ",There may be some truth to the 'coming death' belief as the mushrooms release toxic spores that slowly inflict 4d8 poison damage spread over a period of 2d8 days to creatures that sleep or live within 100 feet of this fungus.,54dbeb10-d18e-4e9a-b5eb-0bfc04a6278b,gravefist
Sandberry Bush,Fire,Deserts,Common,14 sp,"Small bushes with waxy green leaves, the sandberry bush grows in the remote reaches of the Shaar. It has small yellow berries that have a bitter taste, but can be brewed to make a soothing tea. The few nomadic tribes that pass through the Shaar pick the berries as a remedy for insomnia. ","Acts as a sleep aid, if the consumer is willing, inducing a 6-hour sleep cycle with no negative side effects.",4b99e797-5cfe-43d3-83bd-da579df955da,sandberry-bush
Arrowroot,Air,Deserts,Rare,25 gp,"An unusual, wood-stemmed plant dappled brown and white. The roots are very shallow in soil and extend vertically to form a teepee like structure at the base of the plant. ",The stem can be dried and ground and mixed with oil to create a frothy polishing oil that can add a +1 to a weapon’s damage without the need for magic or craftsmanship for a 8 hours.,a932c84d-67eb-4620-b231-e1e3440295ea,arrowroot
Darkberry,Shadow,Forests and Underground,Rare,26 gp,"Short bushes with spindly branches and fluffy green leaves, the plant is known for the unusual berries that only a few produce. The small purple berries contain essence from the Plane of Shadow, and the bushes are said to only grow where the Shadow Weave is strongest. ","When a darkberry is split or crushed, it releases shadowstuff, creating a circle of magical darkness with a 5-foot radius sphere, lasting for 1 minute. ",507903ff-390f-459d-89c7-9de3c1f4a747,darkberry
Ecru,Earth,Coastal and Grassland,Rare,27 gp,"Small, red-leaved drooping palm trees that grow no more than 5-feet talk The trees produce a small, red, crystalline growths, as a result of build-up of the plants internal resins, called 'ecru crystal'. ","This crystal can be dissolved in a strong acid and consumed to induce a state of blissful relaxation for 10 minutes. During this time, there is a 25% chance that a spellcaster consuming ecru crystal will receive a boost of 1d4-1 points to either Wisdom, Charisma, or Intelligence for 24 hours. During this period, the consumer’s Dexterity score is halved.",2dab7ad2-3ff2-43fd-b7f7-a0b9d77ccbdf,ecru
Ephedra,Life,Desert and Mountains,Rare,22 gp,This small succulent sedum produces small offshoots which hold between 8 and 16 small leaves. ,"These leaves can then be dried and ground into a powder to mix with a poultice or potion to increase the tier of a healing die by 1, turning a d6 into a d8, etc. This effect can be used during short rests or with healing magic as a poultice, or can be used by adding to a health potion",e8f47106-4833-4df5-8780-3f6db13d89a0,ephedra
Ghost Tendrils,Life,Underground,Rare,26 gp,"A pale collection of tendrils, the fungus crawls along the ground looking for recent corpses. Once it locates a suitable host, it quickly spreads tendrils throughout the limbs of the creature, and begins a process of limited reanimation. <br>The tendrils avoid sunlight whenever possible, as it causes the fungus to quickly dry out and perish. Thus, the fungus is often found in subterranean locations, such as crypts or in some locations of the Underdark. Local subterranean races that are aware of the fungus often dismember or burn their dead to prevent the fungus from spreading.","While within the corpse, the fungus moves about in whatever form of locomotion the corpse was capable of in life, although lack of fine motor control often causes the corpse to stumble about on all four limbs. The fungus then searches for other possible hosts to embed with spores, often attacking warm living targets. <br><br>Once embedded, the fungus require 1d6+4 hours to reach maturity where it can reanimate the host corpse.",2e9e5812-2641-47a4-91f8-2ee0abc65bb5,ghost-tendrils
Knitbone,Earth,Swamps,Rare,16 gp,"A tall, stalky plant with purple flowers and long, hard, slightly sharp leaves. ","The leaves and flowers can be ground into a poultice that, when applied to an injured creature, will recover 1 Hit Die and heal 1d10 hit points.",8697a936-e96e-4762-9c3e-aa4f7a2dbf7d,knitbone
Lusiri Blossom (Kiss of Discord),Water,Grassland,Rare,25 gp,A herb with dull red leaves that resemble lips. ,Ingestion causes 1d4 hours of hallucinations and the feeling that you must now go on a spirit quest. You feel pulled toward a far off destination.,e72b0983-1603-4846-8446-188aa569ab9c,lusiri-blossom
Rose Campion,Shadow,Desert,Rare,21 gp,A green-brown herb.,"Consuming this herb will protect against scorpion and spider stings for a period of three days, granting advantage on Constitution saving throws against poison from arachnids.",4499eaa2-cc4e-41b0-81b0-ad8adc8b39a2,rose-campion
Salamander Orchid,Fire,Arctic,Rare,15 gp,"This rare orchid is constantly on fire, and propagated by a talented spellcasters. ","A creature proficient with the herbalism kit can apply the sticky pollen of the flower to a bladed weapon on a successful Intelligence (Nature) check (DC 15), causing it to deal an additional 1d6 fire damage for 8 hours. <br><br>Handling the salamander orchid without proper tools found in the herbalism kit causes 1d6 points of fire damage per minute.",0ad647a7-449d-4beb-9291-c3e63ab43595,salamander-orchid
Seregon,Air,Mountains,Rare,21 gp,Blood-red flowers that bloom directly from their roots in rocky soil ,Ingesting the flower’s nectar grants a creature 2d6 temporary hit points that last for 1 hour. This effect cannot be combined with any other effect that grants temporary hit points.,2b63e12c-19ac-407e-b122-b3ce9eb93641,seregon
Air Plant,Air,Coastal,Uncommon,4 gp,A sponge-like surface plant that produces and stores air.," A fist sized piece can be held in the mouth to provide a medium creature with 5 minutes of air before the plant wilts and the recipient is back to normal breathing conditions for whatever the environment determines. This effect works underwater, in clouds of poison or dangerous spores, sandstorms, and other similar conditions.",089942ed-9922-4bfc-bca4-d3607bf972cb,air-plant
Corpsebomb,Fire,Underground and Swamps,Uncommon,9 gp,"The fungus begins life as a tiny spore that floats along until inhaled by a creature, and lodges itself in the moist tissue of the lungs. The spore then begins to grow, causing irritation, pain, and finally death once the fungus has reached a sizable mass. Once the host creature has perished, the fungus increases growth rapidly until it pushes a hollow tendril forth from the flesh. <br>At the exposed end of the tendril the fungus begins growing a thin membrane, which is inflated by the gases produced by the rotting body. ","When the membrane ruptures and disperses the spores, each living creature in a 40-foot radius sphere must make a Constitution saving throw (DC 10). <br>- On a failed save a target inhales spores, and each hour thereafter must repeat the Constitution saving throw with a cumulative -1 penalty to the roll Each hour the creature suffers a cumulative 1d6 piercing damage (2d6 on the second failure, 3d6 on the third, etc.) as the fungus spreads through it's internal organs. <br>- A single success stops the process and renders the fungus inert. <br>If the fungus catches fire the spore sack soon explodes, and each creature in a 20-foot radius sphere must make a Dexterity saving throw (DC 15).  A target takes 3d6 fire damage on a failed save, or half as much on a successful save. All spores are incinerated in this process.",f2cec639-7c1d-429c-8b3d-efaf2dce2bce,corpsebomb
Goblinberry Bush,Fire,Mountains,Uncommon,5 gp,"Growing in high, desolate areas, the small bushes have dark green leaves that are nearly black, with silver undersides. The bushes sporadically sprout reddish-purple berries that have a strong sharp smell that often causes people to gag."," Mixing the juice of the berries with a significant quantity of water and honey makes an interesting drink that is served sporadically in Evereska and Baldur’s Gate. The juice can also be used as an astringent, if the patient can handle the smelL",3dccf859-92a7-4d91-8f6e-1e0ec80efb47,goblinberry-bush
Golden Lungwort,Fire,Forests,Uncommon,6 gp,"The golden lungwort has large oval leaves, covered in small hairs and small pale blotches. It grows to a height of about 1 foot, and has small bell-shaped flowers with five petals which change color from pink to mauve to blue. Flowers of different colors are often found on the same plant. ",This herb heals the user of all aches and pains at the cost of -1 to all Intelligence­based ability checks for the next 4 hours.,64781853-445e-4579-81ca-3d5ac8637f31,golden-lungwort
Kanishta,Earth,Arctic,Uncommon,7 gp,"A short plant that grows in tendrils across the ground sprouting broad fluffy leaves, the kanishta thrives in the cold environment. Growing beneath the ground is a thick, dark colored root.","Although it is extremely bitter tasting, chewing on the root provides temporary relief from the cold weather. <br><br>Those that chew it express a feeling of warmth passing through their body, and a sense of renewed strength, gaining resistance to cold and frost damage, and +1 to Strength checks for 4 hours.",5ffb1236-5fc1-4f6d-b485-121ab9408728,kanishta
Obaddis Leaf,Life,Arctic,Uncommon,4 gp,A rare variety of holly able to retain magic ,"Can be used as Druidic focus. <br><br>As a component for spells that target plants, it doubles both area and duration.",e1634b13-e5a0-461c-b60d-2289883ceb69,obaddis-leaf
Quicksilver Lichen,Water,Underground,Uncommon,10 gp,"A slimy, glittering silver lichen.","Can be ground into a soluble, flavorless powder that can be added to food or drink to grant damage weakness to poison for 2d6 hours.",b53941c0-612c-434d-b078-fcc021173542,quicksilver-lichen
Rattlestalks,Air,Swamps,Uncommon,10 gp,"These tall stalks that grow out of stagnant water end in a thick bulb with a hard shell In the warmer months, the stalk withers, and the bulb falls off, to float around until the bulb softens and falls away to disperse the seeds within. The seeds sit freely in the shell and when shaken make a slight rattling noise, which is unnerving when the wind rushes through a cluster of rattlestalks. ","Tribes that live in the swamps will often use the unnerving aspect of the rattlestalks to create fear inducing noisemakers that are then added to spears and other weapons.<br><br>When rattled, those that have no knowledge of the rattlestalks must make a DC 8 Wisdom saving throw, or be Frightened for 1d4 minutes.",4aa5f59f-c63a-40ad-96c0-4beb091723b8,rattlestalks
Sand Vine,Shadow,Coastal,Uncommon,4 gp,"A relatively rare rope-like seaweed found along temperate or warmer coasts, it grows both above and below water and is commonly rooted to a small rock. ","Can be dried and used as rope. <br><br>Using the herbalism kit, its juices can be extracted to produce vine oil, a topical anesthetic granting 5 temporary hit points for 1 hour. <br><br>- Has the side effect that within 24 hours of use, a creature cannot stabilize on its own (so even with successful death saves, the creature or person must be assisted). <br><br>- Regular use gives a creature a signature odor of salt and slightly-rotted fish.",36b0dfcc-09e3-496b-a746-e7341e931c06,sand-vine
Weirwood Bark,Earth,Forests,Uncommon,8 gp,"A rare oak-like tree with leaves a silver sheen of brown on top and velvet black on the underside, viewed as sacred by dryads and treants. A weirwood can grow to heights in excess of two hundred feet, and the oldest living specimens are estimated to be more than six centuries old. The wood does not burn from non-magical fire, and imparts a warm clear tone to instruments made from it. ","It can replace oak or holly in any spell, and living weirwood has quadruple fire resistance (no means to preserve this quality after harvesting is known). <br>Weirwood trees within range of a magical light source emits light as a candle for 1 minute after leaving the area.",d66691ec-ffab-4b28-8bed-d6ca3b04180b,weirwood-bark
Basilisk Breath,Shadow,Arctic and Mountains,Very Rare,74 gp,"A smallish, evergreen bush resembling the dwarf holly, but produces pale gray berries instead of the typical bright red berries of the holly. ","These berries can be juiced to create a strong paralytic poison that can be applied to a slashing or piercing weapon. A target damaged by the weapon must make a Wisdom saving throw or is slowed as if by the slow spell. Additionally, the creature must make a Constitution saving throw at the end of each of it's turns for 4 rounds. On a failed save, the target is paralyzed for 1 minute. The DC for both the Wisdom and Constitution saving throws is equal to 8 + the Nature skill of the person who prepared the poison. The potency of this poison dissipates after a successful strike.",5eec173f-2d61-460f-b0b6-4c407803ca3f,basilisk-breath
Chromus Slime,Fire,Coastal,Very Rare,57 gp,"A yellow-orange slime mold found growing in dark, humid places, near a supply of constant water. The slime mold is capable of filtering out the salt in salt water and can therefore live in fresh water or by the ocean. ","When combined with high­grade alcohol and added to a potion or poison chromus slime reverses it's effect, creating the opposite effects to what the potion or poison would typically do.",f3f5722d-7d00-4aac-b4ee-8c9473a88825,chromus-slime
Dragontears,Water,Desert,Very Rare,52 gp,"This rare, small, translucent succulent grows primarily in the low desert. ","When crushed, it exudes a sweet, milky white substance with numbing properties. <br><br>Properly prepared, determined by succeeding on an Intelligence (Nature) check (DC 15), Dragontear unguent promotes rapid healing, healing for 3d8 hit points and preventing scarring on successful application. <br><br>The unguent can be fatal when prepared incorrectly and applied to an open wound, as it's numbing properties can cause choking or heart failure.",ca6e34c7-0a2d-4478-b041-0a83a3035097,dragontears
Kingsfruit,Water,Forests,Very Rare,88 gp,"The bark of this tree is a smooth rich brown, while the soft leaves are oval-shaped and sprout in small clusters. <br><br>During the summer months, small violet flowers grow from the tree. During the autumn months, the tree produces a dark brown fruit with a tough exterior. <br><br>The fruit has an extremely hard rind, requiring a blow from a hammer to open. Striking either end of the fruit causes the exterior to divide cleanly into six equal parts. ","The inside of the fruit is golden-yellow, and quite sweet. Eating the fruit restores hit points equal to two of your hit dice and restores any hit dice expended from short rests.",e53b401e-422a-4a7b-a976-8ea9a5de9c32,kingsfruit
Tekkil,Life,Swamps,Very Rare,71 gp,A succulent swamp plant with fat red leaves,"When chewed, the leaves have an analgesic effect with a sense of euphoria. You gain a +5 bonus to saving throws against fear, and are immune to the frightened condition for the next hour. <br><br>The numbing effect confers a -5 penalty to all Dexterity-based saving throws during this time.",475a30c3-beb6-4def-94f4-060ed8160a07,tekkil
Wispstalks,Air,Forests and Underground,Very Rare,56 gp,"This rare fungus has become something of a fable among herbalists. It is reported to have a large, translucent blue bulbous cap growing atop a thin stem, and normally forms in small clusters deep within damp cave environments and forests. ","When consumed, the creature must make a Constitution saving throw (DC 13). <br>- On a failed save, the creature takes 1d6 poison damage and nothing else happens except the creature coughing up what part of the fungus they tried to consume. <br>- On a success the creature becomes transparent (but not invisible) for 1 hour, gaining a +10 bonus to Dexterity (Stealth) checks.",bd2f94e3-b318-499e-8085-024a716bb29c,wispstalks
Icelock,Water,Frigid Conditions,Uncommon,10 gp,"Despite the fact that this natural anomaly is more crystal than plant, icelock possesses a slender, graceful stalk that curves gently under the weight of the 5 delicate petals at its end. Tiny leaves protrude from the stalk itself, each one ending in a gossamer-thin strand that curls gently back upon itself. The stalk gleams a pale green in the moonlight and the crystalline structure within the flower itself catches and refracts the light, creating a milky white translucency.<br><br>Icelock doesn’t grow like a normal plant, but appears spontaneously when the appropriate conditions are met. Scholars have concluded that the following conditions are necessary for growth:<br><br>1. A clear night with a full moon,<br>2. Icy terrain, and<br>3. A location shaded from direct sunlight; it is especially abundant in the divots within ice walls and ice shelves.<br><br>Icelock grows magically in the hours between midnight and sunrise, and dissolves into a glittering mist when sunlight hits it. The mist produced is extremely cold and can cause frostbite if touched. If the plant is picked before it disappears, its crystalline structure solidifies and the flower becomes stable, retaining its form permanently. A plucked icelock continuously emits a slight misty vapor and is permanently cold to the touch, like a small flower made of ice.","It can be used in the crafting of potions, especially those that produce a cold or hardness-based effect.<br>- It can be used to create a lens that reveals magical auras.<br>- If crushed into powder, it can be mixed with food and medicinal pastes. Folk wisdom suggests that in this form it can cure a wide variety of ailments from baldness to lycanthropy.<br>- Powdered icelock can also be incorporated into magical forge-work, although few possess the mastery to accomplish such a feat.<br>- Aurora icelock powder, if treated and mixed with a proper base, can be used to create a dye that shimmers with a beautiful iridescent sheen. Products fashioned with this dye are prized ",,icelock
Aurora Icelock,Water,Frigid Conditions,Very Rare,92 gp,"If icelock grows under the light of an aurora, it is considered especially fortuitous and there is a chance that a variant specimen will grow. The crystalline petals shine with an iridescence that mimics the deep blues, greens, and purples of the aurora. The magical effects of this variant are ten times greater than those of a normal icelock. Some additional magical properties have been noted as well.<br><br>Rather than disappearing normally, sometimes this plant will shimmer for a moment, growing dim and transparent, before vanishing completely. Arcane botanists still debate the nature and mechanism of this disappearance. One compelling treatise holds that the plant physically travels, and includes numerous reports from around the world of a mysterious, colorful flower glowing briefly before shimmering into mist.","Aurora icelock powder, if treated and mixed with a proper base, can be used to create a dye that shimmers with a beautiful iridescent sheen. Products fashioned with this dye are prized for their beauty, and it has been said that even kings pride themselves to own such a rare treasure.",,aurora-icelock
,,,,,,,,
,,,,,,,,
